,,,,,,,,,Vertical Height,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel
mmHg,,,,,,,,,,0,40,80,120,160,200,0,40,80,120,160,200
Order,Speculum Type,Size,Material,Material Type,Method,Spec Ang,Spec Ht,Trial,,,,,,,,,,,,,
1,White,M,Nitrile,Glove,Middle,5,0,1,2.7,0.0,0.2607003891050583,0.5330739299610895,0.6498054474708171,0.7470817120622568,0.8287937743190661,0.0,-0.09961685823754785,0.03448275862068961,0.04214559386973182,-0.3831417624521072,0.46360153256704983
2,White,M,Nitrile,Glove,Middle,5,0,2,3.2,0.0,0.24187725631768953,0.4729241877256317,0.5812274368231047,0.6967509025270758,0.7581227436823105,0.0,0.09053497942386834,0.2098765432098766,0.028806584362139898,0.4032921810699589,0.5020576131687242
3,White,M,Nitrile,Glove,Middle,5,0,3,2.7,0.0,0.13215859030837007,0.4096916299559471,0.6387665198237886,0.7356828193832599,0.7533039647577092,0.0,0.23873873873873874,0.2792792792792793,0.25225225225225223,0.30180180180180183,0.3873873873873874
8,White,M,Vinyl,Glove,Middle,3,0,1,1.3,0.0,0.04885993485342022,0.1596091205211726,0.247557003257329,0.2703583061889251,0.26384364820846906,0.0,-0.34183673469387754,-0.31122448979591844,-0.2857142857142858,0.19387755102040816,0.2142857142857143
9,White,M,Vinyl,Glove,Middle,3,0,2,1.05,0.0,0.019867549668874163,0.06953642384105962,0.1556291390728477,0.3774834437086093,0.3774834437086093,0.0,0.0,-0.28125,-0.1875,0.375,0.4375
10,White,M,Vinyl,Glove,Middle,3,0,3,1.0,0.0,0.12765957446808507,-0.42553191489361697,-0.37234042553191493,-0.4414893617021276,-0.4627659574468086,0.0,-0.11538461538461542,-0.15384615384615374,0.0,0.6153846153846154,0.8461538461538461
11,White,S,Nitrile,Glove,Middle,5,0,1,2.75,0.0,0.38013698630136983,0.5924657534246576,0.7226027397260274,0.8082191780821918,0.8698630136986302,0.0,-0.32093023255813957,-0.2697674418604652,-0.20465116279069773,-0.1116279069767443,-0.018604651162790642
12,White,L,Nitrile,Glove,Middle,5,0,1,3.2,0.0,0.38113207547169814,0.6037735849056604,0.7358490566037736,0.8226415094339623,0.879245283018868,0.0,0.04150943396226414,0.13207547169811318,0.21886792452830184,0.28301886792452835,0.369811320754717
13,White,M,Nitrile,Glove,Two,5,0,1,5.2,0.0,0.47435897435897434,0.7094017094017093,0.8547008547008547,0.9316239316239316,0.9871794871794872,0.0,0.019230769230769273,0.06730769230769229,0.13461538461538458,0.1891025641025641,0.24038461538461542
16,White,S,Nitrile,Glove,Middle,5,0,2,2.7,0.0,0.4534883720930233,0.6337209302325582,0.8837209302325582,0.9418604651162791,0.9854651162790697,0.0,-0.3666666666666667,-0.18666666666666676,-0.21333333333333337,-0.08666666666666667,0.00666666666666671
17,White,L,Nitrile,Glove,Middle,5,0,2,3.0,0.0,0.24087591240875916,0.43430656934306566,0.5547445255474452,0.6496350364963503,0.7226277372262774,0.0,0.08571428571428574,0.19999999999999996,0.2979591836734694,0.38367346938775515,0.4653061224489796
18,White,M,Nitrile,Glove,Two,5,0,2,5.1,0.0,0.577922077922078,0.8181818181818181,0.961038961038961,0.9935064935064936,1.0,0.0,0.034700315457413256,0.11356466876971605,0.18927444794952686,0.24605678233438488,0.2933753943217665
19,White,S,Nitrile,Glove,Middle,5,0,3,2.75,0.0,0.16785714285714282,0.375,0.5214285714285714,0.6142857142857143,0.6964285714285714,0.0,0.029166666666666674,0.15833333333333333,0.26249999999999996,0.3375,0.4208333333333333
20,White,L,Nitrile,Glove,Middle,5,0,3,3.2,0.0,0.16296296296296298,0.3666666666666667,0.5037037037037038,0.6074074074074074,0.6703703703703704,0.0,0.09756097560975607,0.20731707317073167,0.3089430894308943,0.4024390243902439,0.47560975609756095
21,White,M,Nitrile,Glove,Two,5,0,3,5.0,0.0,0.4427480916030534,0.6870229007633588,0.8015267175572519,0.8931297709923665,0.9580152671755725,0.0,0.0,0.10357142857142854,0.18214285714285716,0.23928571428571432,0.28928571428571426
22,White,Unspecified,Trojan,Condom,Precut,3,0,1,3.7,0.0,0.648,0.792,0.9,0.968,0.992,0.0,-0.33884297520661155,-0.2148760330578512,-0.11570247933884303,-0.3925619834710743,0.23966942148760328
23,White,Unspecified,Lifestyle,Condom,Precut,3,0,1,3.6,0.0,0.5991902834008097,0.8259109311740891,0.9149797570850202,0.97165991902834,0.9959514170040485,0.0,-0.3555555555555556,-0.2407407407407407,-0.16296296296296298,-0.07777777777777772,-0.014814814814814836
24,White,Unspecified,Durex,Condom,Precut,3,0,1,3.55,0.0,0.5775193798449613,0.872093023255814,0.9767441860465116,0.9883720930232558,0.9883720930232558,0.0,0.031152647975077885,0.10280373831775702,0.1869158878504673,0.2679127725856698,0.3457943925233645
25,White,Unspecified,Skyn,Condom,Precut,3,0,1,3.65,0.0,0.6890756302521008,0.8907563025210083,0.9789915966386554,0.9915966386554622,0.9873949579831933,0.0,-0.06269592476489039,0.050156739811912265,0.047021943573667735,0.06269592476489028,0.09717868338557989
26,White,Unspecified,Trojan,Condom,Precut,3,0,2,3.55,0.0,0.7543859649122807,0.9385964912280702,0.9692982456140351,0.9956140350877193,0.9956140350877193,0.0,0.009708737864077666,0.09061488673139162,0.15210355987055013,0.20064724919093846,0.04854368932038833
27,White,Unspecified,Lifestyle,Condom,Precut,3,0,2,3.65,0.0,0.7489361702127659,0.9872340425531915,0.9957446808510638,0.9957446808510638,0.9957446808510638,0.0,-0.07073954983922826,0.06430868167202575,0.112540192926045,0.17041800643086813,0.25080385852090037
28,White,Unspecified,Durex,Condom,Precut,3,0,2,3.55,0.0,0.6129032258064516,0.7862903225806451,0.8709677419354839,0.9516129032258065,0.9798387096774194,0.0,-0.11610486891385774,0.0074906367041198685,0.10861423220973787,0.22846441947565543,0.31086142322097376
29,White,Unspecified,Skyn,Condom,Precut,3,0,2,3.75,0.0,0.7121212121212122,0.9318181818181819,0.9962121212121212,0.9962121212121212,0.9962121212121212,0.0,-0.055393586005831,0.06997084548104959,0.14868804664723034,0.22157434402332365,0.27988338192419826
30,White,Unspecified,Trojan,Condom,Precut,3,0,3,3.55,0.0,0.7233201581027668,0.8774703557312253,0.9762845849802372,0.9960474308300395,0.9960474308300395,0.0,-0.0332409972299168,0.052631578947368474,0.12188365650969524,0.17728531855955676,0.260387811634349
31,White,Unspecified,Lifestyle,Condom,Precut,3,0,3,3.65,0.0,0.6186440677966102,0.8389830508474576,0.9067796610169492,0.9830508474576272,0.9957627118644068,0.0,-0.02898550724637672,0.02608695652173909,0.12753623188405794,0.21739130434782605,0.255072463768116
32,White,Unspecified,Durex,Condom,Precut,3,0,3,3.6,0.0,0.5666666666666667,0.775,0.8791666666666667,0.9666666666666667,0.9958333333333333,0.0,-0.011267605633802802,0.06197183098591552,0.12394366197183093,0.19154929577464785,0.23661971830985917
33,White,Unspecified,Skyn,Condom,Precut,3,0,3,3.6,0.0,0.3046875,0.6640625,0.8359375,0.9609375,0.99609375,0.0,-0.012269938650306678,0.039877300613496924,0.1073619631901841,0.1595092024539877,0.22699386503067487
34,White,None,None,None,None,3,0,1,4.1,0.0,0.8333333333333334,0.96,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.0,-2.09375,-1.828125,-1.6796875,-1.4453125,-1.3046875
35,White,None,None,None,None,3,0,2,4.1,0.0,0.535031847133758,0.7961783439490446,0.8757961783439491,0.9331210191082803,0.9713375796178344,0.0,-0.13218390804597702,-0.02298850574712641,0.0431034482758621,0.11206896551724133,0.1724137931034483
36,White,None,None,None,None,3,0,3,4.1,0.0,0.6153846153846154,0.7769230769230769,0.8846153846153846,0.926923076923077,0.9846153846153847,0.0,-0.015544041450777257,0.05699481865284972,0.13212435233160624,0.2046632124352331,0.2953367875647669
37,White,None,None,None,None,5,0,3,5.4,0.0,,,,,,0.0,,,,,
